Date,Adj_Close,Close,High,Low,Open,Volume
2008-01-04,35.099998474121094,35.099998474121094,38.380001068115234,28.59000015258789,31.239999771118164,0.0
2008-01-07,31.420000076293945,31.420000076293945,56.63999938964844,30.959999084472656,30.959999084472656,0.0
2008-01-08,38.49000168,38.49000168,41.93000030517578,35.099998474121094,40.25999832,0.0
2008-01-09,31.280000686645508,31.280000686645508,49.70000076293945,29.46999931335449,49.70000076293945,0.0
2008-01-10,35.540000915527344,35.540000915527344,37.18999862670898,34.97999954223633,37.18999862670898,0.0
2008-01-12,55.25999832,55.25999832,57.43999862670898,50.52999877929688,57.43999862670898,0.0
2008-02-04,33.619998931884766,33.619998931884766,38.40999984741211,27.62999916,35.099998474121094,0.0
2008-02-05,24.209999084472656,24.209999084472656,26.020000457763672,22.43000030517578,25.15999984741211,0.0
2008-02-06,29.489999771118164,29.489999771118164,29.489999771118164,25.020000457763672,26.68000030517578,0.0
2008-02-07,35.380001068115234,35.380001068115234,56.209999084472656,31.420000076293945,31.420000076293945,0.0
2008-02-09,30.450000762939453,30.450000762939453,42.50999832,24.700000762939453,42.50999832,0.0
2008-02-12,54.29999923706055,54.29999923706055,55.25999832,51.869998931884766,55.25999832,0.0
2008-03-03,35.75999832,35.75999832,41.540000915527344,28.489999771118164,28.489999771118164,0.0
2008-03-04,36.68000030517578,36.68000030517578,37.22999954223633,30.280000686645508,33.619998931884766,0.0
2008-03-06,28.489999771118164,28.489999771118164,42.68000030517578,27.100000381469727,42.68000030517578,0.0
2008-03-07,36.25999832,36.25999832,59.810001373291016,33.81999969482422,35.380001068115234,0.0
2008-03-10,35.099998474121094,35.099998474121094,40.220001220703125,33.75999832,40.220001220703125,0.0
2008-03-11,67.83999633789062,67.83999633789062,88.68000030517578,60.150001525878906,88.68000030517578,0.0
2008-03-12,54.65999984741211,54.65999984741211,57.02999877929688,51.15999984741211,54.29999923706055,0.0
2008-03-13,34.150001525878906,34.150001525878906,37.83000183105469,25.280000686645508,37.83000183105469,0.0
2008-03-14,31.11000061035156,31.11000061035156,37.81999969482422,29.06999969482422,36.31999969482422,0.0
2008-03-17,33.43000030517578,33.43000030517578,38.54999923706055,28.229999542236328,33.45000076293945,0.0
2008-03-18,37.84000015258789,37.84000015258789,49.02999877929688,31.780000686645508,31.780000686645508,0.0
2008-03-19,35.49000168,35.49000168,41.84000015258789,30.040000915527344,37.84000015258789,0.0
2008-03-24,35.209999084472656,35.209999084472656,39.040000915527344,29.62999916,35.49000168,0.0
2008-03-25,33.29999923706055,33.29999923706055,36.02000045776367,30.459999084472656,35.209999084472656,0.0
2008-03-26,37.18000030517578,37.18000030517578,45.810001373291016,28.07999992370605,33.29999923706055,0.0
2008-03-27,37.27999877929688,37.27999877929688,39.40999984741211,27.39999961853028,37.18000030517578,0.0
2008-03-28,33.06999969482422,33.06999969482422,46.150001525878906,28.43000030517578,46.150001525878906,0.0
2008-03-31,35.13999938964844,35.13999938964844,37.91999816894531,28.56999969482422,33.06999969482422,0.0
2008-04-03,38.08000183105469,38.08000183105469,51.06999969482422,30.59000015258789,38.08000183105469,0.0
2008-04-04,36.93000030517578,36.93000030517578,37.22999954223633,30.32999992370605,36.68000030517578,0.0
2008-04-06,29.81999969482422,29.81999969482422,32.66999816894531,26.170000076293945,28.489999771118164,0.0
2008-04-07,35.66999816894531,35.66999816894531,57.75999832,35.040000915527344,36.25999832,0.0
2008-04-08,40.24000168,40.24000168,44.93000030517578,31.729999542236328,38.49000168,0.0
2008-04-09,31.229999542236328,31.229999542236328,32.75999832,23.59000015258789,23.59000015258789,0.0
2008-04-11,62.150001525878906,62.150001525878906,84.51000213623047,58.650001525878906,58.650001525878906,0.0
2008-04-12,51.84000015258789,51.84000015258789,55.220001220703125,48.459999084472656,48.459999084472656,0.0
2008-04-15,30.229999542236328,30.229999542236328,42.41999816894531,23.96999931335449,23.96999931335449,0.0
2008-04-16,27.940000534057617,27.940000534057617,31.87000084,24.01000022888184,30.229999542236328,0.0
2008-04-17,27.100000381469727,27.100000381469727,27.100000381469727,27.100000381469727,27.100000381469727,0.0
2008-04-21,27.100000381469727,27.100000381469727,27.100000381469727,27.100000381469727,27.100000381469727,0.0
2008-04-22,39.619998931884766,39.619998931884766,39.619998931884766,39.619998931884766,39.619998931884766,0.0
2008-04-23,32.369998931884766,32.369998931884766,32.369998931884766,32.369998931884766,32.369998931884766,0.0
2008-04-24,28.729999542236328,28.729999542236328,28.729999542236328,28.729999542236328,28.729999542236328,0.0
2008-04-25,27.39999961853028,27.39999961853028,27.39999961853028,27.39999961853028,27.39999961853028,0.0
2008-04-28,27.62000084,27.62000084,27.62000084,27.62000084,27.62000084,0.0
2008-04-29,26.15999984741211,26.15999984741211,27.62000084,25.56999969482422,27.62000084,0.0
2008-04-30,26.15999984741211,26.15999984741211,26.15999984741211,22.489999771118164,26.15999984741211,0.0
2008-05-03,35.50999832,35.50999832,38.75999832,27.950000762939453,38.08000183105469,0.0
2008-05-05,25.06999969482422,25.06999969482422,26.90999984741211,19.950000762939453,24.209999084472656,0.0
2008-05-06,30.31999969482422,30.31999969482422,38.790000915527344,25.309999465942383,29.81999969482422,0.0
2008-05-08,35.65999984741211,35.65999984741211,40.619998931884766,33.15999984741211,40.24000168,0.0
2008-05-09,32.650001525878906,32.650001525878906,57.88999938964844,28.63999938964844,30.709999084472656,0.0
2008-05-11,66.75,66.75,68.80000305175781,47.15999984741211,47.15999984741211,0.0
2008-05-12,52.04999923706055,52.04999923706055,56.11000061035156,47.43999862670898,51.84000015258789,0.0
2008-05-13,33.43000030517578,33.43000030517578,33.529998779296875,26.09000015258789,31.5,0.0
2008-05-14,29.21999931335449,29.21999931335449,33.43000030517578,24.790000915527344,33.43000030517578,0.0
2008-05-15,29.020000457763672,29.020000457763672,30.07999992370605,15.850000381469728,29.21999931335449,0.0
2008-05-16,23.25,23.25,30.75,22.37999916,29.020000457763672,0.0
2008-05-20,24.989999771118164,24.989999771118164,28.670000076293945,11.739999771118164,28.670000076293945,0.0
2008-05-21,27.86000061035156,27.86000061035156,30.530000686645508,8.739999771118164,30.530000686645508,0.0
2008-05-22,34.86000061035156,34.86000061035156,35.790000915527344,24.12999916,27.86000061035156,0.0
2008-05-23,34.029998779296875,34.029998779296875,40.00999832,24.729999542236328,34.86000061035156,0.0
2008-05-26,33.00999832,33.00999832,34.029998779296875,25.06999969482422,34.029998779296875,0.0
2008-05-27,28.59000015258789,28.59000015258789,34.150001525878906,25.600000381469727,33.00999832,0.0
2008-05-28,32.630001068115234,32.630001068115234,41.619998931884766,23.559999465942383,28.59000015258789,0.0
2008-05-29,28.07999992370605,28.07999992370605,38.43999862670898,25.670000076293945,32.630001068115234,0.0
2008-05-30,26.68000030517578,26.68000030517578,35.470001220703125,26.59000015258789,28.07999992370605,0.0
2008-06-05,24.90999984741211,24.90999984741211,28.5,23.059999465942383,25.06999969482422,0.0
2008-06-08,34.91999816894531,34.91999816894531,42.06999969482422,31.670000076293945,35.65999984741211,0.0
2008-06-10,33.75,33.75,44.790000915527344,32.380001068115234,44.11000061035156,0.0
2008-06-11,62.150001525878906,62.150001525878906,62.150001525878906,62.150001525878906,62.150001525878906,0.0
2008-06-13,30.700000762939453,30.700000762939453,41.18000030517578,16.719999313354492,31.40999984741211,0.0
2008-06-16,29.020000457763672,29.020000457763672,38.63999938964844,14.470000267028809,14.470000267028809,0.0
2008-06-17,28.959999084472656,28.959999084472656,37.79999923706055,13.770000457763672,30.700000762939453,0.0
2008-06-18,31.81999969482422,31.81999969482422,34.439998626708984,22.280000686645508,24.76000022888184,0.0
2008-06-19,32.31999969482422,32.31999969482422,44.29999923706055,31.61000061035156,31.81999969482422,0.0
2008-06-20,28.190000534057617,28.190000534057617,57.84999847412109,22.459999084472656,32.31999969482422,0.0
2008-06-23,31.12000084,31.12000084,48.20000076293945,28.190000534057617,28.190000534057617,0.0
2008-06-24,34.04999923706055,34.04999923706055,67.51999664,29.950000762939453,31.12000084,0.0
2008-06-25,36.459999084472656,36.459999084472656,53.15999984741211,33.130001068115234,34.04999923706055,0.0
2008-06-26,32.849998474121094,32.849998474121094,47.709999084472656,31.709999084472656,36.459999084472656,0.0
2008-06-27,32.20000076293945,32.20000076293945,62.02999877929688,31.64999961853028,32.849998474121094,0.0
2008-06-30,30.959999084472656,30.959999084472656,64.38999938964844,30.81999969482422,32.20000076293945,0.0
2008-07-03,35.20000076293945,35.20000076293945,39.34000015258789,27.049999237060547,36.95000076293945,0.0
2008-07-04,30.989999771118164,30.989999771118164,36.93000030517578,22.489999771118164,36.93000030517578,0.0
2008-07-05,25.059999465942383,25.059999465942383,30.18000030517578,22.200000762939453,24.90999984741211,0.0
2008-07-07,37.290000915527344,37.290000915527344,37.310001373291016,32.09000015258789,35.66999816894531,0.0
2008-07-08,35.66999816894531,35.66999816894531,45.52999877929688,27.280000686645508,34.91999816894531,0.0
2008-07-10,39.29999923706055,39.29999923706055,48.08000183105469,33.75,48.08000183105469,0.0
2008-07-11,67.22000122070312,67.22000122070312,72.37000274658203,62.75,69.26000213623047,0.0
2008-07-14,31.51000022888184,31.51000022888184,55.709999084472656,30.61000061035156,38.47999954223633,0.0
2008-07-15,49.77000045776367,49.77000045776367,49.79999923706055,24.350000381469727,31.51000022888184,0.0
2008-07-16,31.100000381469727,31.100000381469727,54.880001068115234,30.65999984741211,40.00999832,0.0
2008-07-17,35.34000015258789,35.34000015258789,53.59000015258789,25.420000076293945,34.93000030517578,0.0
2008-07-18,36.25,36.25,45.50999832,25.34000015258789,35.34000015258789,0.0
2008-07-21,40.47999954223633,40.47999954223633,49.810001373291016,31.989999771118164,36.619998931884766,0.0
2008-07-22,35.54999923706055,35.54999923706055,48.84000015258789,34.04999923706055,35.77000045776367,0.0
2008-07-23,37.77000045776367,37.77000045776367,37.81999969482422,10.15999984741211,35.54999923706055,0.0
2008-07-24,40.290000915527344,40.290000915527344,51.650001525878906,29.34000015258789,39.83000183105469,0.0
2008-07-25,42.290000915527344,42.290000915527344,52.00999832,29.190000534057617,40.290000915527344,0.0
2008-07-28,54.060001373291016,54.060001373291016,55.20000076293945,33.540000915527344,42.290000915527344,0.0
2008-07-29,61.72999954223633,61.72999954223633,63.220001220703125,32.290000915527344,54.060001373291016,0.0
2008-07-30,51.720001220703125,51.720001220703125,61.72999954223633,34.689998626708984,61.72999954223633,0.0
2008-07-31,39.060001373291016,39.060001373291016,53.99000168,37.900001525878906,41.68999862670898,0.0
2008-08-04,31.39999961853028,31.39999961853028,33.709999084472656,26.770000457763672,30.989999771118164,0.0
2008-08-05,25.940000534057617,25.940000534057617,27.25,23.63999938964844,25.059999465942383,0.0
2008-08-07,36.040000915527344,36.040000915527344,49.15999984741211,32.77000045776367,37.290000915527344,0.0
2008-08-08,35.13999938964844,35.13999938964844,41.59999847412109,29.82999992370605,29.82999992370605,0.0
2008-08-09,30.770000457763672,30.770000457763672,56.18999862670898,28.86000061035156,38.27000045776367,0.0
2008-08-10,39.33000183105469,39.33000183105469,52.68999862670898,30.229999542236328,30.229999542236328,0.0
2008-08-12,50.27999877929688,50.27999877929688,56.09000015258789,44.90999984741211,52.04999923706055,0.0
2008-08-13,34.75999832,34.75999832,48.02000045776367,18.959999084472656,19.51000022888184,0.0
2008-08-14,35.24000168,35.24000168,47.65999984741211,27.56999969482422,31.920000076293945,0.0
2008-08-19,34.91999816894531,34.91999816894531,61.99000168,27.049999237060547,29.549999237060547,0.0
2008-08-20,33.95000076293945,33.95000076293945,37.02999877929688,11.100000381469728,36.11000061035156,0.0
2008-08-21,36.54999923706055,36.54999923706055,73.22000122070312,32.439998626708984,33.95000076293945,0.0
2008-08-22,35.75999832,35.75999832,79.76999664,32.560001373291016,36.54999923706055,0.0
2008-08-25,45.11000061035156,45.11000061035156,45.56999969482422,33.349998474121094,35.75999832,0.0
2008-08-26,33.900001525878906,33.900001525878906,45.25999832,28.559999465942383,45.11000061035156,0.0
2008-08-27,32.79999923706055,32.79999923706055,76.51999664,31.76000022888184,33.900001525878906,0.0
2008-08-28,33.310001373291016,33.310001373291016,73.29000091552734,28.38999938964844,32.79999923706055,0.0
2008-08-29,31.670000076293945,31.670000076293945,33.310001373291016,28.200000762939453,28.200000762939453,0.0
2008-09-04,38.24000168,38.24000168,39.36000061035156,28.37000084,31.39999961853028,0.0
2008-09-05,27.530000686645508,27.530000686645508,30.809999465942383,23.37999916,25.940000534057617,0.0
2008-09-06,32.43000030517578,32.43000030517578,35.290000915527344,19.36000061035156,32.869998931884766,0.0
2008-09-07,34.27000045776367,34.27000045776367,77.68000030517578,30.270000457763672,36.040000915527344,0.0
2008-09-09,30.36000061035156,30.36000061035156,40.43999862670898,27.43000030517578,40.43999862670898,0.0
